name,description,price,currency,iso_image
LACE-UP FLAT LEATHER SHOES,"Flat leather derby shoes. Loafer style vamp. Lace-up closure. 

Sole height: 0.4 inches (1 cm)",69.9,USD,b77a940c-8795-4302-9c8b-e79443088d65
,,49.9,USD,f0623784-959a-408f-9ba2-979bc0e9a05e
MESH MULES,"Flat mules in mesh fabric. Buckled back strap. Rounded toe. 

Sole height: 0.4 inches (1 cm)",49.9,USD,a092858b-fc25-4b82-81b1-f128e2f38665
ANIMAL PRINT FLAT SANDALS,"Flat animal print sandals. Wide buckles. Round toe. 

Sole height: 1 inch (2.5 cm)",79.9,USD,aefeeaeb-7f8b-4140-9b4b-364991014329
EMBELLISHED VELVET LOAFERS,"Flat velvet loafers. Front metal embellishment. 

Sole height: 0.4 inches (1 cm)",49.9,USD,b8d4b8ea-43fd-4c76-b8ff-6a65cf0ef622
Mixed casual sneakers with fabric detail. Lace-up closure. <br/><br/>Sole height: 1 inch (2.5 cm),"Mixed casual sneakers with fabric detail. Lace-up closure. 

Sole height: 1 inch (2.5 cm)",49.9,USD,806bc94d-c54f-4724-9815-f8df80027a76
RING DETAIL VINYL HEELED SANDALS,"Heeled vinyl sandals. Wide front straps. Ring detail with rhinestones for the toe.

Heel height: 3.5 inches (9 cm)",49.9,USD,bf935d7a-c6b4-45f6-8e1f-b30eaa42745d
PATENT EFFECT FAUX LEATHER MARY JANES,"Flat Mary Jane style shoes with faux patent leather. V-neck. Squared toe. Buckled strap at instep. 

Sole height: 0.4 inches (1 cm)",39.9,USD,9335d4e8-2897-4f11-bab4-7514fd546544
DISTRESSED EFFECT HEELED MULE,"Open back heeled mules with distressed effect. Pointed toe. 

Heel height: 2.8 inches (7 cm)",59.9,USD,1e2065de-0e47-4de7-b34e-d7a0c9f2ce2f
STRAIGHT SHAFT KNEE HIGH HEELED BOOTS,"Heeled knee high boots. Thin heel. Straight shaft. Pointed toe.

Heel height: 4.3 inches (11 cm)",109.0,USD,1bdd58e3-91c8-489c-ba4d-0c3e3211da33
BUCKLED STRAP CLOGS,"Chunky flat mule clogs. Buckled wide back strap. 

Sole height: 0.8 inches (2 cm)",49.9,USD,ab98947c-928d-4919-ad18-1cfacbb14b15
ANIMAL PRINT HEELED SANDALS,"Heeled sandals. Animal print upper. Thin front straps. Buckled ankle strap closure. Thin heel.

Heel height: 3.1 inches (8 cm)",49.9,USD,4573137b-04f9-476a-be7f-2f9103165108
BLOCK HEEL CROC LOAFERS,"Block heel loafers with croc embossing. High vamp and saddle. Squared toe. 

Heel height: 3.1 inches (8 cm)",59.9,USD,3c923b68-5f47-4d2b-9ea9-46c83fe8cc80
LEATHER LOAFERS,"Flat leather loafers. High vamp and saddle. Rounded toe.

Sole height: 1 inch (2.5 cm)",69.9,USD,f23c01c4-980b-401f-8931-1e05a6dcf8ba
HIGH HEEL MULES,"High heel open back mules. 

Heel height: 3.9 inches (10 cm)",69.9,USD,cb65704c-9715-4940-9a92-7c102907a540
BUCKLED SUEDE CLOGS,"Flat suede clogs. Buckle detail. 

Sole height: 1 inch (2.5 cm)",69.9,USD,373188ae-28a1-4203-9807-67d8ad19c265
FAUX PATENT LEATHER HEELED SHOES,"Heeled faux patent leather shoes. Ankle strap buckle closure. Thin heel. Rounded toe.

Heel height: 3.5 inches (9 cm)",49.9,USD,0e9b17d4-c9f8-42af-8086-65d5ea13ea08
FLAT MULES,"Flat mules. Satin effect fabric. Buckled ankle strap. Squared toe. 

Sole height: 0.4 inches (1 cm)",49.9,USD,35b0317a-86ca-41b3-b40f-13d4edab812f
RHINESTONE VINYL HIGH HEEL SANDALS,"High heel sandals in vinyl with rhinestone detail. Pointed toe. Back strap. 

Heel height: 3.9 inches (10 cm) 

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",69.9,USD,371936a5-3c17-443a-bd13-90043a1b8302
TEXTURED RUNNING SNEAKERS,"Running style sneakers in a combination of textures. Lace-up closure. 

Sole height: 1.4 inches (3.5 cm)",49.9,USD,19632c49-82ef-402d-b75c-4958597ef4f0
PATENT EFFECT HEELED SLINGBACKS,"Patent effect high heel slingbacks. Buckled back strap. Pointed toe. 

Heel height: 3.7 inches (9.5 cm)",49.9,USD,11287f4c-0913-45c1-8b9b-c8c741dec44d
FLAT LEATHER SANDALS,"Flat leather sandals with toe-post. Round toe. 

Sole height: 0.8 inches (2 cm)",59.9,USD,dad28c6e-a45b-4bcb-9925-b856cc0f6c7f
SQUARE TOE LEATHER CLOGS,"Leather clogs. Chunky sole and wood effect block heel. Squared toe. 

Heel height: 2.7 inches (6.8 cm)",139.0,USD,97c64014-4134-431e-813b-f16ae7aba626
FLAT SHOES,"Flat loafers. Wrinkled faux patent leather finish. 

Sole height 0.4 inches (1 cm)",49.9,USD,8ac2211b-eec8-4232-a6e8-a0c7ff815449
FAUX PATENT LEATHER BALLET FLATS,"Mary Jane style shoes with faux patent leather. Block heels. Ankle strap closure. 

Heel height: 1.6 inches (4 cm)",49.9,USD,87945a50-4211-4b60-b88c-abcec43127cc
LEATHER CHELSEA ANKLE BOOTS,"Flat ankle boots in leather. Side elastic goring. Pull tabs. 

Sole height: 1.6 inches (4 cm)",109.0,USD,8e69d84f-0704-4ae1-a356-d73ccd5e9689
HEELED MESH SHOES,"High heel mesh fabric pumps. Pointed toe. 

Heel height: 3.7 inches (9.5 cm)",49.9,USD,07301040-fe0f-4437-b324-34b8d9ede4be
BUCKLED HEELED SHOES,"High heel faux patent leather shoes. Buckled strap closure. Pointed toe. 

Heel height: 3.7 inches (9.5 cm)",59.9,USD,281d9613-0ad8-4e0b-be88-660ad862c080
SOFT LEATHER SLINGBACK FLATS,"Soft leather slingback flats. Buckled wide back strap. Pointed toe. 

Sole height: 0.4 inches (1 cm)",69.9,USD,f87c2c84-6fbf-4f9c-8041-67d3a08ed9cf
SLINGBACK BUCKLED FLAT SHOES,"Flat slingback shoes with buckles. Back strap. Pointed toe. 

Sole height: 0.4 inches (1 cm)",49.9,USD,e59f6df2-8391-4111-8082-8245b784f84f
STRAPPY HEELED SHOES,"Mary Jane shoes with block heels. Faux patent leather finish. Double strap with buckle. Rounded toe. 

Heel height: 2 inches (5 cm)",49.9,USD,bc993322-5f3a-4492-b7b1-416c4a001eaa
MESH RUNNING SHOES,"Mesh running shoes. Contrasting sole. Lace-up closure. 

Sole height: 1.6 inches (4 cm)",49.9,USD,21076cde-aee4-41b1-a103-f101258421c2
CHUNKY HEELED PLATFORM SUEDE SANDALS,"Suede sandals. High heels with platform. Buckled ankle strap closure. 

Heel height: 4.7 inches (12 cm)",69.9,USD,0af31c9d-7a8e-4f9b-9565-d6bb5dac6c9c
METALLIC SLINGBACK SHOES,"Slingback shoes with block heel and metallic finish. Pointed toe. 

Heel height 2.6 inches (6.5 cm)",49.9,USD,3bf5c7fb-86a4-4494-83d1-a0c1efbecfee
HEELED MESH SHOES,"Heeled mesh pumps. Pointed toe. 

Heel height: 3.9 inches (10 cm)",49.9,USD,d85f849d-a70a-4d6e-9ff9-d1de41965a31
FLAT CROSSED-STRAP SANDALS,"Flat sandals with crossed bands. 

Sole height: 0.4 inches (1 cm)",49.9,USD,750f61f5-9df4-4305-882b-28917f13874a
BLOCK HEEL LEATHER GAITER BOOTS,"Knee high leather boots. Gaiter detail. Block heels. Rounded toe. 

Heel height: 3.5 inches (9 cm)",159.0,USD,05016024-70ec-4207-a940-56233e0eec4c
HEELED MESH SHOES,"High heel slingbacks in mesh fabric. Thin straps with buckle closure. Squared vamp. Pointed toe. 

Heel height: 3.6 inches (9.2 cm)",49.9,USD,96ea3c4f-b69b-4ba4-97cb-5588fd9fdf74
FLAT FLOWER SLIDES,"Flat sandals with shiny mesh flower details. Thin satin effect straps. 

Sole height: 0.4 inches (1 cm)",49.9,USD,36387efa-4acd-4a79-995d-c8b272fb24d0
BOW TRIM HEELED VINYL SANDALS,"Heeled vinyl sandals. Front embellished bow. Back strap.

Heel height: 3.5 inches (9 cm)

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",69.9,USD,196bfc19-7bb7-402b-a34f-9cb904cebc42
SHINY MESH BALLET FLATS,"Mesh ballet flats with shiny detail. 

Sole height: 0.4 inches (1 cm)",69.9,USD,e7954f63-e15f-4365-9e4c-7f2442d63583
Wedge mules. Wide strap with buckle. Pointed toe. <br/><br/>Heel height: 2.8 inches (7 cm),"Wedge mules. Wide strap with buckle. Pointed toe. 

Heel height: 2.8 inches (7 cm)",69.9,USD,e5d85bb5-9270-4c22-b105-ee32c13af0ac
BLOCK HEEL SLINGBACK SHOES,"Slingback block heel pumps. Faux patent leather finish. Front strap with buckle detail. Buckled back strap. Squared toe. 

Heel height: 3.7 inches (9.5 cm)",59.9,USD,f0a41954-bc33-435b-9234-750fe859d694
FABRIC GAITER BOOTS,"Tall fabric boots with gaiter detail. Pointed toe. Block heels. 

Heel height: 3.3 inches (8.5 cm)",89.9,USD,e1bdbae5-da8a-4a52-a03d-46deb1901ab4
BUCKLED SOFT LEATHER LOAFERS,"Flat loafers in soft leather. Front metal buckle. 

Sole height: 0.4 inches (1 cm)

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",69.9,USD,fa9e0791-a6c6-48ed-8618-46fcbe0f182e
SNEAKERS,"Fabric running shoes. Rubberized lug sole. Lace-up closure. 

Sole height 0.8 inches (2 cm)",69.9,USD,a77d8c1c-bb3d-48c6-baff-8e6ade5df022
FAUX PATENT LEATHER SLINGBACK SHOES,"Heeled slingback shoes. Front strap with buckle detail. Back strap with buckle closure. 

Heel height: 1.6 inches (4 cm) 

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",49.9,USD,aa6fb9ed-4862-465e-9a95-ca85bc17087a
BUCKLED HEELED MULES,"Heeled mules. Front wide strap with buckle. Pointed toe. 

Heel height: 2.6 inches (6.6 cm)",49.9,USD,a1cb45ac-1684-4e5a-8894-c2d638da82f0
LUG SOLE LEATHER CAGE SANDALS,"Flat leather cage sandals. Wide straps with double buckle closure. Lug soles. 

Sole height: 1 inch (2.5 cm)",89.9,USD,db944c62-5921-4437-8496-5db510d18a7e
LEATHER BLOCK HEEL SHOES,"Block heel leather sandals with pointed toe.

Heel height: 2.8 inches (7 cm)",79.9,USD,cf381263-0162-450e-b43d-ebb0237cbe3b
TASSELED MOCCASINS,"Flat loafers. Front tassels. High vamp.

Sole height: 0.8 inches (2 cm)",49.9,USD,34121e28-36ef-4a7b-b9ad-9187509e3e12
CASUAL ATHLETIC SNEAKERS,"Casual sneakers with leather details. Contrast back. Lace-up closure. 

Sole height: 0.8 inches (2 cm)",49.9,USD,f2a5ddcf-ecb2-415a-8105-c3f48f2dce84
FAUX PATENT LEATHER FLAT PENNY LOAFERS,"Low heel penny loafers with faux patent leather. High vamp and saddle. Rounded toe. 

Sole height: 1.6 inches (4 cm)",49.9,USD,fe59ce45-e1e8-4231-9a98-e88dfd3c0603
PATENT EFFECT FAUX LEATHER MARY JANES,"Mary Jane style shoes with faux patent leather. Block heels. Double strap closure. 

Heel height: 1.6 inches (4 cm)",49.9,USD,bf55aff8-09b5-4474-bd58-0659c7c8523c
FABRIC KITTEN HEEL SLINGBACKS,"Fabric slingbacks. Kitten heels. Pointed toe. 

Heel height: 1.6 inches (4 cm)",49.9,USD,205d714a-35fd-4840-93dc-65a4c3abd338
SIDE STRAP HIGH HEELED SHOES,"High heel pumps. Open sides with thin straps and buckles. Front straps. 

Heel height: 2.9 inches (7.4 cm)",59.9,USD,0149ee6f-54dc-426b-bb1a-465a0ef8f26b
HEELED LEATHER KNEE HIGH BOOTS,"Heeled leather knee high boots. Thin heel. Pointed toe.

Heel height: 3.1 inches (8 cm)",169.0,USD,0ee2bed8-c6d8-4284-8138-bf31b48f1428
SLINGBACK STRAPPY LEATHER KITTEN HEELS,"Slingback kitten heels with faux patent leather finish. Thin buckled straps at front and back strap. Pointed toe. 

Heel height: 2.4 inches (6 cm)",49.9,USD,dbc668f9-55a6-4340-b130-2183bb220b7f
RUCHED OPEN BACK LEATHER SHOES LIMITED EDITION,"Slingback leather pumps with ruched effect. Back strap with elastic. Pointed toe. 

Heel height: 1.8 inches (4.5 cm)",129.0,USD,dd981be2-a0d1-40cc-9021-ec07b042863c
BUCKLED STRAP FLATFORM SANDALS,"Leather sandals. Flatform sole. Buckled wide straps. 

Sole height: 1.6 inches (4 cm)",89.9,USD,6ac28950-d495-46e2-8907-e3f0b0d341a5
SNEAKERS,"Running shoes. Chunky wide soles. Lace-up closure. 

Sole height: 2 inches (5 cm)",69.9,USD,4faa1415-8320-45ad-ba35-9eb8bf8358bd
HEELED MESH SHOES,"High heel slingbacks in mesh fabric. Thin straps with buckle closure. Squared vamp. Pointed toe. 

Heel height: 3.6 inches (9.2 cm)",49.9,USD,37734568-ab42-42b9-9555-20c09ab6dade
BUCKLED BLOCK HEEL SHOES,"Block heel shoes with faux patent leather. Buckled strap details. Buckled ankle strap closure. Squared toe.

Heel height: 2.4 inches (6 cm)

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",49.9,USD,0b0df0ed-6a49-4872-a50c-ef528df8d558
OPEN BACK METALLIC FLAT SHOES,"Flat mules with metallic effect and woven upper. 

Sole height: 0.4 inches (1 cm)",49.9,USD,53ba6b09-ef98-4c9f-8a25-40f1ac868f5a
STRAPPY HEELED MARY JANES,"Block heel Mary Jane shoes. Faux patent leather finish. Buckled straps.

Heel height: 1.6 inches (4 cm)

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",49.9,USD,11b5859c-930e-4d79-8b2b-da82c88ef8f7
STUDDED LOAFERS,"Patent effect loafers. Upper with stud detail. High vamp and saddle. 

Sole height: 0.8 inches (2 cm)",69.9,USD,a35a2f5b-c15c-44a4-9b18-5a468ef0fc13
ZIPPERED LEATHER HEELED ANKLE BOOTS,"Heeled leather ankle boots. Zip closure. Pointed toe.

Heel height: 3.1 inches (8 cm)",129.0,USD,218be18b-ae1b-4dae-85ea-77f253216df0
STRAPPY HEELED SLINGBACKS,"Heeled slingback shoes. Thin straps with rings detail. Back strap with buckle closure. Pointed toe. 

Heel height: 2.8 inches (7 cm)",49.9,USD,551835f1-a889-47fd-bf33-a7d280f54f6a
CRACKLED HEELED PUMPS,"Crackled effect slingback heels. Front straps with buckle. Thin heel. Pointed toe. Back buckled strap closure.

Heel height: 3.1 inches (8 cm)",49.9,USD,98645cb2-485f-4e94-b97e-80b9b2697324
ATHLETIC PLATFORM SNEAKERS,"Sneakers with platform soles. Lace-up closure. 

Sole height: 3 inches (7.5 cm)",49.9,USD,d14c842a-4391-459d-8104-9dfbac5a6e96
FLATFORM SNEAKERS,"Sneakers with flatform soles. Lace-up closure. 

Sole height: 1.6 inches (4 cm) 

STARFIT®. Flexible technical sole made of polyurethane foam designed to offer increased comfort.",35.9,USD,8d996e12-e6b2-4ab4-9fed-f3eaf47f524f
LUG SOLE DERBY SHOES,"Faux patent leather derby shoes. Quilted detail. Chunky lug soles. Back pull tab. Lace-up closure. 

Sole height 2.5 inches (6.2 cm)",49.9,USD,e1b85940-6dd7-4dd4-a413-1149ebbc4865
PATENT EFFECT FLATS,"Faux patent flats. High vamp. Squared toe.

Sole height: 0.4 inches (1 cm)",49.9,USD,f7073541-ed3d-42cf-8bf5-d947a8afb48b
SOFT LEATHER SLINGBACK FLATS,"Soft leather slingback flats. Buckled wide back strap. Pointed toe. 

Sole height: 0.4 inches (1 cm)",69.9,USD,e89d6aa6-0723-4053-8365-1cb676de2860
PEARL TRIM VINYL SANDALS,"High heel vinyl sandals with pearl detail. Back strap. 

Heel height: 3.5 inches (9 cm)",69.9,USD,5d5f8f23-5478-4452-a656-0e068bd03e36
HEELED COWBOY ANKLE BOOTS,"Leather cowboy ankle boots. Block heels. Pointed toe. 

Heel height: 3.1 inches (8 cm)",99.9,USD,583405ff-9024-432b-9c18-2274d46b90ef
TRANSPARENT HEELED SANDALS,"Heeled sandals. Transparent straps at front. Methacrylate block heel.

Heel height: 3.9 inches (9.8 cm)",49.9,USD,badf7e87-5037-49f8-8283-311d1eafe131
FLAT VELVET SHOES,"Flat velvet shoes. Rounded toe.

Sole height: 0.4 inches (1 cm)",49.9,USD,1d77f16c-43c6-4f3f-aad4-ebeffa801632
FLAT KNEE HIGH BOOTS,"Flat knee high boots. Back pull tab. Rounded toe. 

Sole height: 1.6 inches (4 cm)",69.9,USD,6191d255-726f-46f0-805c-36c70d143530
HEART DETAIL LACE UP SANDALS,"Heeled sandals. Thin front straps. Heart-shaped piece detail at front. Tied closure.

Heel height: 3.5 inches (8.8 cm)",69.9,USD,0e30729e-73cd-44de-a861-42b0a4754aec
BUCKLED STRAP SLINGBACK SHOES,"Slingback heels. Thin buckled straps at front. Pointed toe.

Heel height: 2 inches (5 cm)",49.9,USD,0e8dab2a-b825-4de7-88b3-e06ee248a9c5
BUCKLED STRAP HIGH HEELED SHOES,"Heeled pumps. Thin buckled straps at front. Pointed toe. 

Heel height: 3.5 inches (9 cm)",49.9,USD,b4b97357-39e4-43f5-8e64-340d247b9fcc
LACE UP HEELED SHOES,"Slingback heels. Thin heel. Buckled ankle strap closure. Pointed toe.

Heel height: 3.5 inches (9 cm)",49.9,USD,ab268a29-80ea-44bd-bb49-10a59ef0b5a1
STRAPPY SLINGBACK SHOES,"Slingback pumps with thin straps. Buckle detail. Kitten heels.Back strap. 

Heel height: 2 inches (5 cm)",49.9,USD,ba7edcdc-6456-4e2f-b3c6-3a02cfc6309c
STRAPPY ANIMAL PRINT HEELED SHOES,"Open back high heel animal print shoes. Thin straps and buckled ankle strap. Pointed toe. 

Heel height: 3.7 inches (9.5 cm)",89.9,USD,fd74d9dc-4e6a-4d8e-934a-28e21bbef94e
FLAT SOFT LEATHER SHOES,"Soft leather flat shoes. Rounded toe. 

Sole height: 0.4 inches (1 cm)",89.9,USD,e16fb447-0651-4730-8a47-a77393fc4cf9
BOW TRIM METALLIC KITTEN HEEL SHOES,"Kitten heel shoes with metallic effect. Bow detail at front. Pointed toe. Back strap. 

Heel height: 1.6 inches (4 cm)",69.9,USD,f45d4921-4a79-4ee0-ab01-df49d00eadbe
KNEE HIGH HEELED MESH BOOTS,"Knee high boots in mesh fabric. Wide shaft. Pointed toe. 

Heel height: 2.6 inches (6.5 cm)",109.0,USD,41c016aa-2034-4bca-8240-0516fb2e4787
RHINESTONE STRAPPY HIGH HEELED SHOES,"High heel fabric pumps. Strap with rhinestones at instep. Pointed toe. Buckled ankle strap closure. 

Heel height: 2.8 inches (7 cm) 

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",49.9,USD,f45bdd96-a811-4051-980f-01ce0b6d171e
FAUX PATENT LEATHER HEELED SHOES,"Heeled faux patent leather shoes. Mid-height heel. Pointed toe.

Heel height: 2.4 inches (6 cm)",19.99,USD,44884d92-d82e-47d0-be9f-76093625c2f4
ANIMAL PRINT SLINGBACK HEELS,"Animal print heeled slingbacks. Buckled ankle strap closure. Pointed toe.

Heel height: 3.7 inches (9.5 cm)

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",49.9,USD,f6765293-af3d-4ee4-9218-8586d6f50c3b
ANIMAL PRINT COWBOY BOOTS,"Knee high cowboy boots. Animal print. Pointed toe. 

Heel height: 1.8 inches (4.5 cm)",79.9,USD,bb54bada-2078-4382-bb9f-32aee635eb33
MID-HEIGHT SHAFT SUEDE BOOTS,"Boots made of suede with mid-height shaft. Wide shaft. Pointed toe. 

Heel height: 1.2 inches (3 cm)",159.0,USD,31df77bf-73b3-4908-bbd5-b0e98af227f8
METAL APPLIQUÉ FLAT SANDALS,"Flat sandals. Wide front straps with buckle and metal appliqués. Rounded toe.

Sole height: 1.2 inches (3 cm)",89.9,USD,8f9f328a-41f4-4619-ac75-56b818f9c0ca
BOW TRIM HEELED SHOES,"Heeled slingbacks with bow detail at front. Back strap with elastic. Pointed toes.

Heel height: 3.9 inches (10 cm)",49.9,USD,a8fdec92-f993-4a89-a7be-696f9daa637a
FLOWER SLINGBACK SHOES LIMITED EDITION,"Heeled vinyl slingbacks. Front flower detail. Thin heel. Pointed toe.

Heel height: 3.5 inches (9 cm)",149.0,USD,f86a6b56-bfd9-48c1-8a1c-55e90943e16b
HEELED KNEE HIGH GAITER BOOTS,"Knee high boots with gaiters. Squared toe. 

Heel height: 2.6 inches (6.5 cm)",109.0,USD,dc038d06-2488-4bfb-9f01-7810f57537b1
BUCKLED FLAT MESH SANDALS,"Flat mesh fabric sandals. Buckled wide straps. Back adhesive strap closure. 

Sole height: 2.4 inches (6 cm)",59.9,USD,8773e086-3c69-4e01-b0c7-30178d409b3d
Flat suede clogs. Buckled back strap. Rounded toe. <br/><br/>Sole height: 1 inch (2.5 cm),"Flat suede clogs. Buckled back strap. Rounded toe. 

Sole height: 1 inch (2.5 cm)",59.9,USD,600a33b7-54c8-4dd9-8cea-d74e4a54ddcb
VINYL WEDGE SANDALS,"Wedge style heeled sandals in jute. Vinyl straps. 

Heel height: 3 inches (7.6 cm)",59.9,USD,d51172f9-9c2a-4019-804e-1775b3050a3f
METALLIC HEELED SLINGBACKS,"Slingback block heel shoes with metallic effect. Back strap. Rounded toe. 

Heel height: 2.4 inches (6.2 cm)",49.9,USD,922c9304-4492-4080-87fa-8c4f62d1b054
CONTRAST LACE-UP WEDGES,"Slingback wedges. Upper in a combination of materials. Ankle tie closure. 

Heel height: 3.9 inches (10 cm)",69.9,USD,1721dc1a-786b-4658-b5a9-e66e0a8bfd4a
SPLIT LEATHER MOCCASINS WITH TASSELS,"Flat suede penny loafers. Front tassels.

Sole height: 0.4 inches (1 cm)",69.9,USD,a26e8b81-2040-42ff-84a8-334d092e5778
LEATHER BALLET FLATS,"Mary Jane style leather ballet flats. Buckled strap at instep. 

Sole height: 0.4 inches (1 cm) 

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",59.9,USD,7887ce4d-a0e5-400c-9610-7804b3cea8a7
BLOCK HEEL LEATHER BOOTS,"Block heel knee high leather boots. Round toe.

Heel height: 3.1 inches (8 cm)

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",169.0,USD,93b63162-a1ca-41b9-b60a-0358ff5d828b
LEATHER KNEE HIGH BOOTS,"Flat knee high leather boots. Round toe. 

Sole height: 1.5 inches (4.4 cm)",169.0,USD,5808fec7-d356-46e7-ba49-942ec975e9dd
METALLIC RUNNING SNEAKERS,"Running sneakers with metallic effect. Contrast back. Lace-up closure.

Sole height: 0.6 inches (1.5 cm)",49.9,USD,5873b4b4-016b-4e1c-97ed-54b4014a23ea
SHINY FABRIC MULES,"Mesh effect fabric mules. Shiny upper. Thin heel. Pointed toe.

Heel height: 3.1 inches (8 cm)",69.9,USD,19f39796-3f37-4c6e-aa6e-db1e0e258f76
HEELS WITH ANKLE STRAP,"Heeled slingback pumps. Pointed toe. Buckled ankle strap closure. 

Heel height: 3.1 inches (8 cm)",69.9,USD,b059203b-dbf8-4d55-be4e-688c5887f8d2
ANKLE STRAP HEELED METALLIC SANDALS,"Metallic high heel sandals. Buckled ankle strap closure. 

Heel height: 3.3 inches (8.5 cm)",49.9,USD,53186498-6c1d-48df-8d50-31bad4d98efd
DISTRESSED EFFECT LUG SOLE LOAFERS,"Flat loafers with distressed look. Lug soles. Rounded toe. 

Sole height: 1.8 inches (4.5 cm)",49.9,USD,32d5c6f5-76dd-440c-9b74-a16493f27384
FABRIC ANKLE BOOT WITH GEOMETRIC HEEL,"Stretch fabric ankle boots. High geometrical heel. Fitted upper. Pointed toe. Back pull tab. 

Heel height: 3.9 inches (10 cm)

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",49.9,USD,fa9243fe-973b-4824-b62c-476e02c04e9e
BOW TRIM VELVET MULES,"Velvet kitten heel mules. Bow detail at front. Squared toe.

Heel height: 1.6 inches (4 cm)",49.9,USD,aad4dd62-b4d7-449d-a40d-3181cb06dba0
VELVET BALLET FLATS,"Velvet ballet flats. Buckle strap fastening at instep. 

Sole height: 0.4 inches (1 cm)",59.9,USD,241815f0-a8f1-4dae-afb8-d39b73d330e9
